Locale,Language,Title,Short description,Full description
"es-ES","Spanish (Spain)","Mi fiesta perfecta","Planificador de bodas y eventos — invitados, mesas, presupuesto y tareas.","My Perfect Party es un planificador de bodas, cumpleaños y todo tipo de celebraciones.

Organiza boda, cumpleaños, aniversario, compromiso, bautizo o reunión familiar — en el móvil, con datos locales en el dispositivo.

Qué puedes hacer:
• Crear eventos con fecha, hora, lugar y tema
• Lista de invitados y control de asistencia
• Plano de mesas y asientos
• Presupuesto y gastos por categoría
• Tareas y recordatorios antes del gran día
• Diseñar y compartir invitaciones digitales
• Exportar informe PDF
• Copia de seguridad por email opcional

Palabras clave: planificador de bodas, organizador de bodas, planificador de cumpleaños, planificador de fiestas, lista de invitados, plano de mesas, presupuesto de boda, wedding planner.

No hace falta cuenta. Funciona sin conexión. Descarga My Perfect Party — tu planificador de bodas y eventos."
"es-419","Spanish (Latin America)","Mi fiesta perfecta","Planificador de bodas y eventos — invitados, mesas, presupuesto y tareas.","My Perfect Party es un planificador de bodas, cumpleaños y todo tipo de celebraciones.

Organiza boda, cumpleaños, aniversario, compromiso, bautizo o reunión familiar — en el celular, con datos locales en el dispositivo.

Qué puedes hacer:
• Crear eventos con fecha, hora, lugar y tema
• Lista de invitados y control de asistencia
• Plano de mesas y asientos
• Presupuesto y gastos por categoría
• Tareas y recordatorios antes del gran día
• Diseñar y compartir invitaciones digitales
• Exportar informe PDF
• Respaldo por email opcional

Palabras clave: planificador de bodas, organizador de bodas, planificador de cumpleaños, planificador de fiestas, lista de invitados, plano de mesas, presupuesto de boda, wedding planner.

No necesitas cuenta. Funciona sin conexión. Descarga My Perfect Party — tu planificador de bodas y eventos."
"it-IT","Italian","La mia festa perfetta","Wedding e event planner — ospiti, tavoli, budget, attività e inviti.","My Perfect Party è un wedding planner, un planner per compleanni e un’app per ogni festa.

Organizza matrimonio, compleanno, anniversario, fidanzamento, battesimo o riunione di famiglia — sul telefono, con dati locali sul dispositivo.

Cosa puoi fare:
• Creare eventi con data, ora, luogo e tema
• Lista ospiti e conferma presenza
• Piano tavoli e posti a sedere
• Budget e spese per categoria
• Attività e promemoria prima del grande giorno
• Creare e condividere inviti digitali
• Esportare report PDF
• Backup email opzionale

Parole chiave: wedding planner, organizzatore matrimonio, planner compleanno, party planner, lista ospiti, piano tavoli, budget matrimonio, checklist matrimonio.

Nessun account richiesto. Funziona offline. Scarica My Perfect Party — il tuo wedding & events planner."
"pt-BR","Portuguese (Brazil)","Minha festa perfeita","Planejador de casamento e festas — convidados, mesas, orçamento e tarefas.","My Perfect Party é um planejador de casamento, aniversário e festas de todos os tipos.

Organize casamento, aniversário, noivado, batizado ou reunião de família — no celular, com dados locais no aparelho.

O que você pode fazer:
• Criar eventos com data, hora, local e tema
• Lista de convidados e confirmação de presença
• Mapa de mesas e assentos
• Orçamento e despesas por categoria
• Tarefas e lembretes antes do grande dia
• Criar e compartilhar convites digitais
• Exportar relatório em PDF
• Backup por e-mail opcional

Palavras-chave: planejador de casamento, organizador de casamento, planejador de aniversário, planejador de festa, lista de convidados, mapa de mesas, orçamento de casamento, wedding planner.

Sem necessidade de conta. Funciona offline. Baixe My Perfect Party — seu planejador de casamentos e eventos."
"pt-PT","Portuguese (Portugal)","A minha festa perfeita","Planeador de casamentos e festas — convidados, mesas, orçamento e tarefas.","My Perfect Party é um planeador de casamentos, aniversários e festas de todos os tipos.

Organize casamento, aniversário, noivado, batizado ou reunião de família — no telemóvel, com dados locais no dispositivo.

O que pode fazer:
• Criar eventos com data, hora, local e tema
• Lista de convidados e confirmação de presença
• Mapa de mesas e lugares
• Orçamento e despesas por categoria
• Tarefas e lembretes antes do grande dia
• Criar e partilhar convites digitais
• Exportar relatório em PDF
• Backup por e-mail opcional

Palavras-chave: planeador de casamento, organizador de casamento, planeador de aniversário, planeador de festa, lista de convidados, mapa de mesas, orçamento de casamento, wedding planner.

Sem necessidade de conta. Funciona offline. Descarregue My Perfect Party — o seu planeador de casamentos e eventos."
"nl-NL","Dutch","Mijn perfecte feest","Trouw- & eventplanner — gasten, zitplan, budget, taken en uitnodigingen.","My Perfect Party is een trouwplanner, verjaardagsplanner en app voor elk feest.

Plan een bruiloft, verjaardag, jubileum, verloving, doop of familiebijeenkomst — op je telefoon, met lokale gegevens op het apparaat.

Wat je kunt doen:
• Events maken met datum, tijd, locatie en thema
• Gastenlijst en aanwezigheid bijhouden
• Zitplan en tafelschikking
• Budget en uitgaven per categorie
• Taken en herinneringen voor de grote dag
• Digitale uitnodigingen maken en delen
• PDF-rapport exporteren
• Optionele e-mailbackup

Zoekwoorden: trouwplanner, wedding planner, verjaardagsplanner, feestplanner, eventplanner, gastenlijst, zitplan, trouwbudget, checklist bruiloft.

Geen account nodig. Werkt offline. Download My Perfect Party — jouw wedding & events planner."
"pl-PL","Polish","Moja idealna impreza","Planer wesel i imprez — goście, stoły, budżet, zadania i zaproszenia.","My Perfect Party to planer wesel, urodzin i aplikacji do każdej uroczystości.

Zaplanuj wesele, urodziny, rocznicę, zaręczyny, chrzest lub rodzinne spotkanie — w telefonie, z danymi lokalnie na urządzeniu.

Co możesz robić:
• Tworzyć wydarzenia z datą, godziną, miejscem i motywem
• Prowadzić listę gości i obecność
• Planować usadzenie przy stołach
• Śledzić budżet i wydatki
• Zarządzać zadaniami i przypomnieniami
• Tworzyć i udostępniać zaproszenia cyfrowe
• Eksportować raport PDF
• Opcjonalny backup e-mail

Słowa kluczowe: planer wesela, organizator wesela, planer urodzin, planer imprezy, lista gości, usadzenie gości, budżet wesela, wedding planner.

Konto nie jest wymagane. Działa offline. Pobierz My Perfect Party — planer wesel i wydarzeń."
"cs-CZ","Czech","Moje dokonalá oslava","Plánovač svateb a oslav — hosté, zasedací pořádek, rozpočet a úkoly.","My Perfect Party je plánovač svateb, narozenin a aplikace pro všechny oslavy.

Naplánujte svatbu, narozeniny, výročí, zásnuby, křtiny nebo rodinné setkání — v telefonu, s daty lokálně v zařízení.

Co můžete dělat:
• Vytvářet události s datem, časem, místem a tématem
• Vést seznam hostů a docházku
• Plánovat zasedací pořádek
• Sledovat rozpočet a výdaje
• Spravovat úkoly a připomínky
• Tvořit a sdílet digitální pozvánky
• Exportovat PDF report
• Volitelný e-mailový backup

Klíčová slova: plánovač svatby, organizátor svatby, plánovač narozenin, plánovač party, seznam hostů, zasedací pořádek, svatební rozpočet, wedding planner.

Účet není potřeba. Funguje offline. Stáhněte My Perfect Party — plánovač svateb a eventů."
"sk","Slovak","Moja dokonalá oslava","Plánovač svadieb a osláv — hostia, zasadanie, rozpočet, úlohy a pozvánky.","My Perfect Party je plánovač svadieb, narodenín a aplikácia pre všetky oslavy.

Naplánujte svadbu, narodeniny, výročie, zásnuby, krstiny alebo rodinné stretnutie — v telefóne, s dátami lokálne v zariadení.

Čo môžete robiť:
• Vytvárať udalosti s dátumom, časom, miestom a témou
• Viesť zoznam hostí a dochádzku
• Plánovať zasadanie pri stoloch
• Sledovať rozpočet a výdavky
• Spravovať úlohy a pripomienky
• Tvoriť a zdieľať digitálne pozvánky
• Exportovať PDF report
• Voliteľný e-mailový backup

Kľúčové slová: plánovač svadby, organizátor svadby, plánovač narodenín, plánovač oslavy, zoznam hostí, zasadanie, svadobný rozpočet, wedding planner.

Účet nie je potrebný. Funguje offline. Stiahnite My Perfect Party — plánovač svadieb a eventov."
"hu-HU","Hungarian","A tökéletes partim","Esküvő- és rendezvényszervező — vendégek, ülésrend, költségvetés, feladatok.","A My Perfect Party esküvőtervező, születésnap-tervező és alkalmazás minden ünnepséghez.

Tervezz esküvőt, születésnapot, évfordulót, eljegyzést, keresztelőt vagy családi összejövetelt — telefonon, helyi adatokkal a készüléken.

Mit tehetsz:
• Események dátummal, időponttal, hellyel és témával
• Vendéglista és jelenlét követése
• Ülésrend és asztalok
• Költségvetés és kiadások
• Feladatok és emlékeztetők
• Digitális meghívók készítése és megosztása
• PDF jelentés exportálása
• Opcionális e-mail mentés

Kulcsszavak: esküvőtervező, wedding planner, születésnap szervező, party planner, vendéglista, ülésrend, esküvői költségvetés.

Nincs szükség fiókra. Offline is működik. Töltsd le a My Perfect Party-t — esküvő- és eseményszerveződ."
"ro","Romanian","Petrecerea mea perfectă","Planificator nuntă & evenimente — invitați, mese, buget, sarcini, invitații.","My Perfect Party este un planificator de nuntă, aniversări și aplicație pentru orice petrecere.

Organizează nuntă, zi de naștere, aniversare, logodnă, botez sau reuniune de familie — pe telefon, cu date locale pe dispozitiv.

Ce poți face:
• Creezi evenimente cu dată, oră, locație și temă
• Liste de invitați și confirmări
• Plan de mese și locuri
• Buget și cheltuieli pe categorii
• Sarcini și memento-uri înainte de marea zi
• Creezi și partajezi invitații digitale
• Exporți raport PDF
• Backup email opțional

Cuvinte cheie: planificator nuntă, organizator nuntă, planificator ziua de naștere, planificator petrecere, listă invitați, plan mese, buget nuntă, wedding planner.

Nu e nevoie de cont. Funcționează offline. Descarcă My Perfect Party — planificatorul tău de nunți și evenimente."
"el-GR","Greek","Το τέλειο πάρτι μου","Οργάνωση γάμου & εκδηλώσεων — καλεσμένοι, τραπέζια, budget, εργασίες.","Το My Perfect Party είναι wedding planner, εφαρμογές για γενέθλια και κάθε γιορτή.

Οργανώστε γάμο, γενέθλια, επέτειο, αρραβώνα, βάπτιση ή οικογενειακή συγκέντρωση — στο κινητό, με τοπικά δεδομένα στη συσκευή.

Τι μπορείτε να κάνετε:
• Δημιουργία εκδηλώσεων με ημερομηνία, ώρα, τοποθεσία και θέμα
• Λίστα καλεσμένων και παρακολούθηση παρουσίας
• Σχέδιο τραπεζιών και θέσεων
• Προϋπολογισμός και έξοδα
• Εργασίες και υπενθυμίσεις
• Ψηφιακά προσκλητήρια
• Εξαγωγή αναφοράς PDF
• Προαιρετικό email backup

Λέξεις-κλειδιά: οργάνωση γάμου, wedding planner, οργάνωση γενεθλίων, party planner, λίστα καλεσμένων, κάθισμα καλεσμένων, budget γάμου.

Δεν χρειάζεται λογαριασμός. Λειτουργεί offline. Κατεβάστε το My Perfect Party — ο wedding & events planner σας."
"tr-TR","Turkish","Mükemmel Partim","Düğün ve etkinlik planlayıcı — misafirler, oturma, bütçe, görevler, davetiye.","My Perfect Party bir düğün planlayıcı, doğum günü planlayıcı ve her türlü kutlama uygulamasıdır.

Düğün, doğum günü, yıldönümü, nişan, vaftiz veya aile buluşması planlayın — telefonda, veriler cihazda yerel olarak saklanır.

Neler yapabilirsiniz:
• Tarih, saat, konum ve temalı etkinlikler
• Misafir listesi ve katılım takibi
• Oturma düzeni ve masalar
• Bütçe ve gider takibi
• Görevler ve hatırlatıcılar
• Dijital davetiye tasarlama ve paylaşma
• PDF raporu dışa aktarma
• İsteğe bağlı e-posta yedekleme

Anahtar kelimeler: düğün planlayıcı, wedding planner, doğum günü planlayıcı, parti planlayıcı, misafir listesi, oturma düzeni, düğün bütçesi, etkinlik planlayıcı.

Hesap gerekmez. Çevrimdışı çalışır. My Perfect Party’yi indirin — düğün ve etkinlik planlayıcınız."
"ru-RU","Russian","Мой идеальный праздник","Планировщик свадеб и праздников — гости, рассадка, бюджет, задачи.","My Perfect Party — планировщик свадеб, дней рождения и любых торжеств.

Организуйте свадьбу, день рождения, годовщину, помолвку, крестины или семейную встречу — на телефоне, с локальными данными на устройстве.

Что можно делать:
• Создавать события с датой, временем, местом и темой
• Вести список гостей и присутствие
• Планировать рассадку и столы
• Следить за бюджетом и расходами
• Управлять задачами и напоминаниями
• Создавать и делиться цифровыми приглашениями
• Экспортировать PDF-отчёт
• Опциональный email-бэкап

Ключевые слова: планировщик свадьбы, организатор свадьбы, планировщик дня рождения, планировщик вечеринки, список гостей, рассадка гостей, свадебный бюджет, wedding planner.

Аккаунт не нужен. Работает офлайн. Скачайте My Perfect Party — ваш планировщик свадеб и событий."
"uk","Ukrainian","Моє ідеальне свято","Планувальник весіль і свят — гості, розсадка, бюджет, завдання, запрошення.","My Perfect Party — планувальник весіль, днів народження та будь-яких свят.

Організуйте весілля, день народження, річницю, заручини, хрестини чи сімейну зустріч — на телефоні, з локальними даними на пристрої.

Що можна робити:
• Створювати події з датою, часом, місцем і темою
• Вести список гостей і присутність
• Планувати розсадку та столи
• Стежити за бюджетом і витратами
• Керувати завданнями та нагадуваннями
• Створювати й ділитися цифровими запрошеннями
• Експортувати PDF-звіт
• Опційний email-бекап

Ключові слова: планувальник весілля, організатор весілля, планувальник дня народження, планувальник вечірки, список гостей, розсадка, весільний бюджет, wedding planner.

Обліковий запис не потрібен. Працює офлайн. Завантажте My Perfect Party — ваш планувальник весіль і подій."
"ar","Arabic","حفلتي المثالية","منظم زفاف ومناسبات — الضيوف، الجلوس، الميزانية، المهام والدعوات.","My Perfect Party هو منظم زفاف ومنظم أعياد ميلاد وتطبيق لتخطيط كل الاحتفالات.

نظّم حفل زفاف أو عيد ميلاد أو ذكرى سنوية أو خطوبة أو تعميد أو لقاء عائلي — على هاتفك، مع بيانات محلية على الجهاز.

ماذا يمكنك أن تفعل:
• إنشاء مناسبات بالتاريخ والوقت والموقع والسمة
• قائمة الضيوف وتتبع الحضور
• تخطيط الجلوس والطاولات
• تتبع الميزانية والمصروفات
• إدارة المهام والتذكيرات
• تصميم ومشاركة دعوات رقمية
• تصدير تقرير PDF
• نسخ احتياطي اختياري بالبريد

كلمات مفتاحية: منظم زفاف، مخطط حفل زفاف، منظم عيد ميلاد، منظم حفلات، قائمة الضيوف، مخطط الجلوس، ميزانية الزفاف، wedding planner.

لا يلزم حساب. يعمل دون اتصال. حمّل My Perfect Party — منظم الزفاف والمناسبات."
"iw-IL","Hebrew","המסיבה המושלמת שלי","מתכנן חתונות ואירועים — אורחים, הושבה, תקציב, משימות והזמנות.","My Perfect Party הוא מתכנן חתונות, ימי הולדת ואפליקציה לכל חגיגה.

תכננו חתונה, יום הולדת, יום נישואין, אירוסין, ברית או מפגש משפחתי — בטלפון, עם נתונים מקומיים במכשיר.

מה אפשר לעשות:
• ליצור אירועים עם תאריך, שעה, מיקום וערכת נושא
• רשימת אורחים ומעקב הגעה
• תכנון הושבה ושולחנות
• מעקב תקציב והוצאות
• משימות ותזכורות
• עיצוב ושיתוף הזמנות דיגיטליות
• ייצוא דוח PDF
• גיבוי אופציונלי במייל

מילות מפתח: מתכנן חתונות, ארגון חתונה, מתכנן ימי הולדת, מתכנן מסיבות, רשימת אורחים, הושבת אורחים, תקציב חתונה, wedding planner.

אין צורך בחשבון. עובד במצב לא מקוון. הורידו את My Perfect Party — מתכנן החתונות והאירועים שלכם."
"fa","Persian","مهمانی بی‌نقص من","برنامه‌ریز عروسی و مراسم — مهمانان، نشستن، بودجه، کارها و دعوت‌نامه.","My Perfect Party برنامه‌ریز عروسی، تولد و اپلیکیشن برای هر جشن است.

عروسی، تولد، سالگرد، نامزدی، غسل تعمید یا دورهمی خانوادگی را روی گوشی برنامه‌ریزی کنید — با داده‌های محلی روی دستگاه.

چه کارهایی می‌توانید بکنید:
• ایجاد رویداد با تاریخ، ساعت، مکان و تم
• فهرست مهمانان و پیگیری حضور
• برنامه‌ریزی نشستن و میزها
• پیگیری بودجه و هزینه‌ها
• مدیریت کارها و یادآورها
• طراحی و اشتراک دعوت‌نامه دیجیتال
• خروجی گزارش PDF
• پشتیبان اختیاری ایمیل

کلمات کلیدی: برنامه‌ریز عروسی، سازمان‌دهنده عروسی، برنامه‌ریز تولد، برنامه‌ریز مهمانی، لیست مهمانان، چیدمان نشستن، بودجه عروسی، wedding planner.

نیازی به حساب نیست. آفلاین کار می‌کند. My Perfect Party را دانلود کنید — برنامه‌ریز عروسی و رویدادهای شما."
"hi-IN","Hindi","मेरी परफेक्ट पार्टी","वेडिंग और इवेंट प्लानर — मेहमान, बैठक व्यवस्था, बजट, कार्य और निमंत्रण.","My Perfect Party एक वेडिंग प्लानर, बर्थडे प्लानर और हर उत्सव के लिए ऐप है।

शादी, जन्मदिन, सालगिरह, सगाई, बपतिस्मा या पारिवारिक मिलन की योजना बनाएं — फ़ोन पर, डेटा डिवाइस पर स्थानीय रहता है।

आप क्या कर सकते हैं:
• तारीख, समय, स्थान और थीम के साथ इवेंट बनाएं
• गेस्ट लिस्ट और उपस्थिति ट्रैक करें
• बैठने की व्यवस्था और टेबल प्लान
• बजट और खर्च ट्रैक करें
• कार्य और रिमाइंडर प्रबंधित करें
• डिजिटल निमंत्रण डिज़ाइन और शेयर करें
• PDF रिपोर्ट निर्यात करें
• वैकल्पिक ईमेल बैकअप

कीवर्ड: वेडिंग प्लानर, शादी प्लानर, बर्थडे प्लानर, पार्टी प्लानर, गेस्ट लिस्ट ऐप, सीटिंग प्लान, शादी बजट, wedding planner, event planner.

खाते की ज़रूरत नहीं। ऑफ़लाइन काम करता है। My Perfect Party डाउनलोड करें — आपका वेडिंग और इवेंट्स प्लानर।"
"bn-BD","Bangla","আমার পারফেক্ট পার্টি","Wedding ও ইভেন্ট প্ল্যানার — অতিথি, বসার ব্যবস্থা, বাজেট, কাজ ও নিমন্ত্রণ।","My Perfect Party একটি wedding planner, জন্মদিন প্ল্যানার এবং সব উৎসবের অ্যাপ।

বিয়ে, জন্মদিন, বার্ষিকী, বাগদান বা পারিবারিক অনুষ্ঠান পরিকল্পনা করুন — ফোনে, ডেটা ডিভাইসে স্থানীয় থাকে।

কী করতে পারবেন:
• তারিখ, সময়, স্থান ও থিমসহ ইভেন্ট তৈরি
• অতিথি তালিকা ও উপস্থিতি ট্র্যাক
• বসার ব্যবস্থা ও টেবিল প্ল্যান
• বাজেট ও খরচ ট্র্যাক
• কাজ ও রিমাইন্ডার
• ডিজিটাল নিমন্ত্রণ শেয়ার
• PDF রিপোর্ট এক্সপোর্ট
• ঐচ্ছিক ইমেইল ব্যাকআপ

কীওয়ার্ড: wedding planner, বিয়ে প্ল্যানার, জন্মদিন প্ল্যানার, পার্টি প্ল্যানার, গেস্ট লিস্ট, সিটিং প্ল্যান, wedding budget.

অ্যাকাউন্ট লাগে না। অফলাইনে কাজ করে। My Perfect Party ডাউনলোড করুন।"
"id","Indonesian","Pesta Sempurna Saya","Perencana pernikahan & acara — tamu, tempat duduk, anggaran, tugas, undangan.","My Perfect Party adalah wedding planner, perencana ulang tahun, dan aplikasi untuk setiap perayaan.

Rencanakan pernikahan, ulang tahun, anniversary, tunangan, baptis, atau pertemuan keluarga — di ponsel, dengan data lokal di perangkat.

Yang bisa Anda lakukan:
• Buat acara dengan tanggal, waktu, lokasi, dan tema
• Daftar tamu dan kehadiran
• Denah tempat duduk dan meja
• Lacak anggaran dan pengeluaran
• Kelola tugas dan pengingat
• Desain dan bagikan undangan digital
• Ekspor laporan PDF
• Backup email opsional

Kata kunci: wedding planner, perencana pernikahan, perencana ulang tahun, party planner, daftar tamu, denah tempat duduk, anggaran pernikahan, event planner.

Tidak perlu akun. Bekerja offline. Unduh My Perfect Party — wedding & events planner Anda."
